bite_date,Species,Breed,Gender,victim_zip,Bittenpart,quarantine_date
2010/3/16 0:00,DOG,,UNKNOWN,40211,BODY,2010/3/16 0:00
2010/3/16 0:00,DOG,,MALE,40272,BODY,2010/3/17 0:00
2010/3/16 0:00,DOG,,UNKNOWN,40272,BODY,2010/3/26 0:00
2010/3/17 0:00,DOG,,UNKNOWN,40272,HEAD,
2010/3/17 0:00,DOG,,MALE,40258,BODY,2010/3/23 0:00
2010/3/18 0:00,DOG,,UNKNOWN,40203,BODY,2010/3/19 0:00
2010/3/18 0:00,DOG,,UNKNOWN,40219,BODY,2010/3/18 0:00
2010/3/19 0:00,CAT,,FEMALE,40213,BODY,2010/3/22 0:00
2010/3/19 0:00,CAT,,UNKNOWN,40213,HEAD,2010/3/19 0:00
2010/3/19 0:00,DOG,,FEMALE,40218,BODY,2010/3/23 0:00
2010/3/19 0:00,DOG,,MALE,40203,BODY,2010/3/19 0:00
2010/3/20 0:00,CAT,,UNKNOWN,40207,BODY,2010/3/22 0:00
2010/3/20 0:00,DOG,,FEMALE,40291,BODY,2010/3/22 0:00
2010/3/20 0:00,DOG,,MALE,40243,BODY,2010/3/22 0:00
2010/3/20 0:00,DOG,,MALE,87604,BODY,2010/3/22 0:00
2010/3/20 0:00,DOG,,MALE,40243,BODY,2010/3/23 0:00
2010/3/20 0:00,DOG,,FEMALE,40206,BODY,2010/4/5 0:00
2010/3/21 0:00,CAT,,UNKNOWN,40205,BODY,2010/3/21 0:00
2010/3/21 0:00,DOG,,FEMALE,40118,BODY,2010/3/25 0:00
2010/3/21 0:00,DOG,,UNKNOWN,42027,BODY,2010/3/21 0:00
2010/3/22 0:00,DOG,,UNKNOWN,40243,BODY,2010/3/22 0:00
2010/3/22 0:00,CAT,,UNKNOWN,40258,BODY,2010/3/22 0:00
2010/3/22 0:00,CAT,,UNKNOWN,40299,BODY,2010/3/24 0:00
2010/3/22 0:00,DOG,,MALE,40205,BODY,2010/3/26 0:00
2010/3/23 0:00,DOG,,MALE,40243,HEAD,2010/3/23 0:00
2010/3/23 0:00,DOG,,MALE,40299,BODY,2010/3/24 0:00
